ExperimentKey,TransfectionDate,PlateNum,CloneKey,Odor1K,Odor2K,Odor3K,Odor4K,Odor5K,Odor1C,Odor2C,Odor3C,Odor4C,Odor5C,PlateLocation,LucData,RLData,Notes,384Location,LabNoteBook,TransfectionType,CellType
394794,26-Jan-17,1,999,77,0,,,,0.00,0,,,,H6,4621,1542,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394795,26-Jan-17,1,999,77,0,,,,0.00,0,,,,I6,4874,1532,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394796,26-Jan-17,1,999,77,0,,,,0.00,0,,,,J6,3926,1367,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394797,26-Jan-17,1,999,77,0,,,,0.00,0,,,,K6,3922,1440,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394798,26-Jan-17,1,999,77,0,,,,0.00,0,,,,L6,4988,1252,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394799,26-Jan-17,1,999,77,0,,,,0.00,0,,,,M6,5291,1313,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394800,26-Jan-17,1,999,77,0,,,,0.00,0,,,,N6,5297,1162,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394801,26-Jan-17,1,999,77,0,,,,0.00,0,,,,O6,6561,1348,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394802,26-Jan-17,1,999,77,0,,,,0.00,0,,,,P6,5522,1198,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394803,26-Jan-17,1,999,77,0,,,,0.00,0,,,,A7,3808,2077,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394804,26-Jan-17,1,999,77,0,,,,0.00,0,,,,B7,4154,2097,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394805,26-Jan-17,1,999,77,0,,,,0.00,0,,,,C7,3735,1838,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394806,26-Jan-17,1,999,77,0,,,,0.00,0,,,,D7,4477,1791,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394807,26-Jan-17,1,999,77,0,,,,0.00,0,,,,E7,4357,1738,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394808,26-Jan-17,1,999,77,0,,,,0.00,0,,,,F7,4041,1454,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394809,26-Jan-17,1,999,77,0,,,,0.00,0,,,,G7,4405,1601,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394810,26-Jan-17,1,999,77,0,,,,0.00,0,,,,H7,4555,1312,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394811,26-Jan-17,1,999,77,0,,,,0.00,0,,,,I7,4256,1393,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394812,26-Jan-17,1,999,77,0,,,,0.00,0,,,,J7,3985,1276,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394813,26-Jan-17,1,999,77,0,,,,0.00,0,,,,K7,3897,1214,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394814,26-Jan-17,1,999,77,0,,,,0.00,0,,,,L7,4180,1365,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
